"ID Riesgo - prefix","ID Riesgo - number","ID Riesgo","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de CreaciÃ³n",Priorizado,"Fecha SoluciÃ³n Riesgo","Motivo del Riesgo","Criticidad del Riesgo","Fecha Necesidad","Impacto del Punto","Gravedad del Riesgo",Descripcion,"ID Legacy"
RM,5833,RM-5833,SPA-GR,5833,SPA-GR05833,Abierto,"Alexandre GOMBA","2023-12-05 15:24:48",2022-03-21,,,,"criticidad muy alta < 3 meses",2023-12-31,,1,"W12 2022: Se incluye el punto en riesgo por orden de paralizaciÃ³n de las obras y orden de cese de la actividad.",223591
RM,141,RM-141,SPA-BX,330,SPA-BX00330,Abierto,"Delgado Alejandro","2023-12-05 15:28:07",2023-03-14,,,,"criticidad muy alta < 3 meses",2023-12-18,,1,"Recicbido burofax en tiempo y forma pero con fecha confunida ya que el contrato vence en diciembrf",231508
RM,1863,RM-1863,SPA-MA,2613,SPA-MA02613,Abierto,"Jose-Francisco Ibanez-Castilla","2023-12-05 15:42:11",2023-08-02,,,,"criticidad muy alta < 3 meses",2024-02-22,,1,"Burofax remitido en tiempo y forma por la propiedad para no renovar el contrato a su vencimiento el 22/02/2024.",234331
RM,111,RM-111,SPA-BX,85,SPA-BX00085,Cerrado,"Delgado Alejandro","2023-12-05 15:41:01",2023-02-08,Si,2023-11-20,,"criticidad muy alta < 3 meses",2023-07-06,,,"BUROFAX EN TIEMPO Y FORMA",230672
RM,441,RM-441,SPA-GU,9419,SPA-GU09419,Cerrado,"Delgado Alejandro","2023-12-05 15:24:02",2022-06-15,,2023-03-24,,"criticidad muy alta < 3 meses",2022-04-23,,,"W24 2022: se incluye el punto en riesgo,  la concesiÃ³n ha finalizado y la propiedad comenta que no quieren renovar porque no tienen cobertura de OSP. Ventas lo estÃ¡ estudiando.",226166
RM,1872,RM-1872,SPA-ZX,353,SPA-ZX00353,Abierto,"Jose-Francisco Ibanez-Castilla","2023-12-05 15:27:33",2023-07-26,,,,"criticidad muy alta < 3 meses",2024-02-04,,1,"Recibido burofax en tiempo y forma",234240
RM,1561,RM-1561,SPA-MU,104,SPA-MU00104,Cerrado,"Delgado Alejandro","2023-12-05 15:39:57",2019-03-29,,2020-01-17,,"criticidad baja > 9 meses",2029-09-27,,,"Recibido burofax de la propiedad comunicando el vencimiento con fecha  27/9/2019.",69858
RM,1193,RM-1193,SPA-GR,5627,SPA-GR05627,Abierto,"Delgado Alejandro","2023-12-12 18:23:22",2023-06-08,,,,"criticidad muy alta < 3 meses",2024-06-08,,1,"Lanzamiento de la SF para buscar una alternativa. La razÃ³n son las exigencias econÃ³micas de la propiedad para el despliegue de OSP y la precariedad en la que estamos con renovaciones anuales.",233395
RM,1311,RM-1311,SPA-BI,3,SPA-BI00003,Cerrado,"Delgado Alejandro","2023-12-05 15:43:33",2018-10-26,,2021-10-07,,"criticidad alta < 6 meses",2019-11-05,,,"Quieren que retiremos la caseta y pasemos a sala , Unificar SSRR, pero contrato hasta 06/08/2023",48415
RM,464,RM-464,SPA-IB,162,SPA-IB00162,Cerrado,"Delgado Alejandro","2023-12-05 15:23:56",2022-06-30,,2023-11-24,,"criticidad baja > 9 meses",2024-09-07,,,"W26 Se incluye punto en riesgo; propiedad ha llamado a atenp indicando que le quedan 2 aÃ±os de contrato, quieren renegociar, de no convencerles pedirÃ¡n recisiÃ³n.",226411
RM,321,RM-321,SPA-CX,25,SPA-CX00025,Cerrado,"Delgado Alejandro","2023-12-05 15:40:29",2021-01-25,,2023-06-02,,"criticidad muy alta < 3 meses",2023-02-23,,,"El Ayuntamiento comunica que debido al Plan especial para la protecciÃ³n del Castro de ElviÃ±a, se procediÃ³ a expropiar el terrero y tenemos que desmontar la estaciÃ³n en un plazo de 3 meses.",175132
RM,1043,RM-1043,SPA-TX,7898,SPA-TX07898,Cerrado,"Delgado Alejandro","2023-12-05 15:40:53",2020-02-03,,2020-09-17,,"criticidad alta < 6 meses",2020-04-01,,,"La propiedad nos para la estaciÃ³n hasta que no tengamos la acometida propia, actualmente tenemos cesiÃ³n por parte de la propiedad",117102
RM,1103,RM-1103,SPA-VX,1035,SPA-VX01035,Cerrado,"Delgado Alejandro","2023-12-05 15:29:25",2020-08-06,,2020-11-03,,"criticidad baja > 9 meses",2031-01-24,,,"Recibido burofax con fecha de rescisiÃ³n 24/01/2021. Estamos pendientes de conocer el motivo.",152239
RM,10031,RM-10031,SPA-SE,4,SPA-SE00004,Abierto,"Alexandre GOMBA","2023-12-05 15:24:36",2023-09-25,,,,"criticidad muy alta < 3 meses",2023-09-23,,1,"Enviado burofax en tiempo y forma",235452
RM,1200,RM-1200,SPA-LO,3,SPA-LO00003,Abierto,"Delgado Alejandro","2023-12-05 15:28:45",2023-06-14,,,,"criticidad baja > 9 meses",2025-10-19,,1,"RECIBIDO BUROFAX EN TIEMPO Y FORMA INSTANDO A NEGOCIAF",233527
