"ID Riesgo - prefix","ID Riesgo - number","ID Riesgo","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de Creación",Priorizado,"Fecha Solución Riesgo","Motivo del Riesgo","Criticidad del Riesgo","Fecha Necesidad","Impacto del Punto","Gravedad del Riesgo",Descripcion,"ID Legacy"
RM,266,RM-266,SPA-CO,7024,SPA-CO07024,Abierto,"Delgado Alejandro","2024-01-28 22:54:42",2022-02-28,,,"Propiedad, Otro Operador","criticidad media < 9 meses",2024-10-09,,2,"Emplazamiento en SOL Meliá vendido a Cellnex. Se declara en riesgo para ver las posibilidad de encontrar una alternativa y replegarse.",222927
RM,604,RM-604,SPA-MU,64,SPA-MU00064,Abierto,"Delgado Alejandro","2024-02-03 11:34:56",2021-08-30,Si,,Propiedad,"criticidad muy alta < 3 meses",2024-04-18,,1,"W35: Recibido burofax de rescisión con fecha de vencimiento 01/09/2022.",209300
RM,1259,RM-1259,SPA-VX,1200,SPA-VX01200,Cerrado,"Delgado Alejandro","2024-01-17 10:48:13",2023-05-10,,2023-06-29,"Propiedad, Otro Operador","criticidad media < 9 meses",2024-02-08,,,"LA `PROPIEDAD HA ENVIADO BUROFAX EN TIEMPO Y FORMA. TIENEN OFERTA DE TI. NUESTRA PRIMERA OPCION ES MARCHARNOS",232830
RM,290,RM-290,SPA-CR,3317,SPA-CR03317,Cerrado,"Delgado Alejandro","2024-01-17 10:49:12",2022-02-24,,2022-11-24,Propiedad,"criticidad muy alta < 3 meses",2023-02-24,,,"W08 2022: Se incluye el punto en riesgo, ya que estamos sin contrato y la propiedad ha dejado caer que si no le interesa nuestro acuerdo nos echa a la calle, tenemos instalados a VDF y TME en este punto.",222829
RM,1292,RM-1292,SPA-AX,8721,SPA-AX08721,Abierto,"Delgado Alejandro","2024-01-17 10:50:16",2019-04-30,,,"Propiedad, Legalización","criticidad muy alta < 3 meses",2019-10-19,,2,"REcibido burofax de la propiedad T.I. comunicando la rescisión del contrato con fecha 19/11/2019",73866
RM,1048,RM-1048,SPA-VA,2266,SPA-VA02266,Cerrado,"Delgado Alejandro","2024-01-17 10:50:07",2019-08-21,,2020-01-20,Propiedad,"criticidad baja > 9 meses",2035-02-01,,,"recibido burofax comunicando la rescisión el día 1/2/20",89208
RM,1012,RM-1012,SPA-TO,581,SPA-TO00581,Cerrado,"Delgado Alejandro","2024-01-17 10:49:57",2020-01-09,,2020-10-05,"Propiedad, Acometida","criticidad baja > 9 meses",2024-06-15,,,"Se da de alta riesgo para poder realizar al acometida en el emplazamiento en base a las condiciones técnicas del 07/01. En principio la obra serían 30K.",112829
RM,202,RM-202,SPA-BX,965,SPA-BX00965,Abierto,"Delgado Alejandro","2024-01-17 10:48:32",2023-01-18,,,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2023-10-09,,1,"Estamos en contacto con esta propiedad por un tema puntual de obras y nos trasladan que no tienen constancia de la existencia de TOTEM en la azotea a nivel formal y que estamos en precario. No tienen intención de no continuar pero he quedado en que les enviaba todo lo que tuviese a efectos documentales",230163
RM,10146,RM-10146,SPA-TX,7624,SPA-TX07624,Abierto,"Alexandre GOMBA","2024-01-28 22:47:58",2023-11-12,,,Propiedad,"criticidad alta < 6 meses",2024-07-08,,1,"La propiedad del TX7624 nos remite burofax indicándonos que no quieren renovar el contrato a su próximo vencimiento de 08.07.2024 en las condiciones actuales. No abrimos renego porque está previsto desmontar por jumping. Hemos pedido previsión a OSP",236124
RM,10095,RM-10095,SPA-VX,26,SPA-VX00026,Cerrado,"Alexandre GOMBA","2024-01-18 23:51:38",2023-02-04,,2023-02-07,Propiedad,"criticidad baja > 9 meses",2024-09-28,,,"Aquí estamos en un situación crítica, ya que salimos claramente perjudicados por la instalación de un nuevo operador en la finca.

El Administrador me confirma que este último ha ocupado más espacio de lo previsto inicialmente y que la azotea actualmente está LLENA de antenas y los vecinos se quejan del importante peso que tienen ambas instalaciones.

La comunidad ha solicitado básicamente la rescisión del contrato porque no quieren TANTOS EQUIPOS / ANTENAS.",230587
