"ID de la condición del beneficiario - prefix","ID de la condición del beneficiario - number","ID de la condición del beneficiario","Id Partes Relacionadas - prefix","Id Partes Relacionadas - number","Id Partes Relacionadas","Id Arrendamiento - prefix","Id Arrendamiento - number","Id Arrendamiento",Estado,Autor,"Ultimo cambio","Fecha de Creación","Fecha de Baja",Exención/Retención,"Renta Anual del Beneficiario",Autofacturación
Cond,16830,Cond-16830,RP,3348,RP-03348,L,4641,L-04641,Activo,"Delgado Alejandro","2023-10-20 17:10:12",2023-05-03,,Si,,Si
Cond,28702,Cond-28702,RP,21086,RP-21086,L,7982,L-07982,Activo,"Alexandre GOMBA","2023-10-20 16:44:50",2023-10-20,,No,,Si
Cond,25143,Cond-25143,,,-,L,4888,L-04888,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:45:10",2023-06-16,,No,10000.0,No
Cond,31567,Cond-31567,RP,22215,RP-22215,L,4862,L-04862,Activo,"Alexandre GOMBA","2024-01-10 22:23:40",2024-01-10,,No,,No
Cond,28261,Cond-28261,RP,21010,RP-21010,L,5753,L-05753,Activo,"Alexandre GOMBA","2023-10-20 16:37:01",2023-10-20,,Si,,Si
Cond,20068,Cond-20068,RP,5654,RP-05654,L,7725,L-07725,Activo,"Delgado Alejandro","2023-10-20 17:15:53",2023-05-03,,No,,No
Cond,30933,Cond-30933,RP,364,RP-00364,L,16916,L-16916,Activo,"Alexandre GOMBA","2023-11-16 16:17:16",2023-11-16,,No,,Si
Cond,21645,Cond-21645,RP,6872,RP-06872,L,9242,L-09242,Activo,"Delgado Alejandro","2023-10-20 17:19:00",2023-05-03,,No,,No
Cond,14289,Cond-14289,RP,1617,RP-01617,L,2228,L-02228,Activo,"Delgado Alejandro","2023-10-20 17:05:38",2023-05-03,,No,,Si
Cond,17295,Cond-17295,RP,3697,RP-03697,L,5093,L-05093,Activo,"Delgado Alejandro","2023-10-20 17:10:59",2023-05-03,,Si,,Si
Cond,23004,Cond-23004,RP,7785,RP-07785,L,10532,L-10532,Activo,"Delgado Alejandro","2023-10-20 17:21:31",2023-05-03,,Si,,No
Cond,13221,Cond-13221,RP,867,RP-00867,L,1162,L-01162,Activo,"Delgado Alejandro","2023-10-20 17:03:42",2023-05-03,,Si,,No
Cond,26838,Cond-26838,RP,20727,RP-20727,L,18879,L-18879,Activo,"Alexandre GOMBA","2023-10-20 16:11:27",2023-10-20,,No,,Si
Cond,29576,Cond-29576,RP,8551,RP-08551,L,16971,L-16971,Activo,"Alexandre GOMBA","2023-10-20 17:00:21",2023-10-20,,No,,Si
Cond,19186,Cond-19186,RP,5058,RP-05058,L,6879,L-06879,Inactivo,"Delgado Alejandro","2023-09-07 21:31:23",2023-05-03,,Si,16660.0,Si
Cond,30467,Cond-30467,RP,20748,RP-20748,L,6400,L-06400,Activo,"Alexandre GOMBA","2023-11-16 16:06:18",2023-11-16,,Si,,Si
Cond,29787,Cond-29787,RP,20793,RP-20793,L,19322,L-19322,Activo,"Alexandre GOMBA","2023-11-16 15:50:43",2023-11-16,,Si,,No
Cond,23206,Cond-23206,RP,7932,RP-07932,L,10767,L-10767,Activo,"Delgado Alejandro","2023-10-20 17:21:52",2023-05-03,,Si,,Si
Cond,32072,Cond-32072,RP,22338,RP-22338,L,5449,L-05449,Activo,"Alexandre GOMBA","2024-01-18 23:17:24",2024-01-18,,No,,Si
Cond,16518,Cond-16518,RP,3093,RP-03093,L,4344,L-04344,Activo,"Delgado Alejandro","2023-10-20 17:09:26",2023-05-03,,Si,,Si
Cond,29345,Cond-29345,RP,7826,RP-07826,L,18894,L-18894,Activo,"Alexandre GOMBA","2023-10-20 16:56:14",2023-10-20,,Si,,Si
Cond,22217,Cond-22217,RP,7250,RP-07250,L,9784,L-09784,Activo,"Delgado Alejandro","2023-10-20 17:20:02",2023-05-03,,Si,,Si
Cond,15390,Cond-15390,RP,2356,RP-02356,L,3288,L-03288,Activo,"Delgado Alejandro","2023-10-20 17:07:31",2023-05-03,,No,,No
Cond,26001,Cond-26001,,,-,L,9084,L-09084,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:47:08",2023-06-16,,Si,4500.0,Si
Cond,18097,Cond-18097,RP,4324,RP-04324,L,5820,L-05820,Activo,"Delgado Alejandro","2023-10-20 17:12:34",2023-05-03,,No,,Si
Cond,30030,Cond-30030,RP,364,RP-00364,L,3212,L-03212,Activo,"Alexandre GOMBA","2023-11-16 15:56:06",2023-11-16,,No,,No
Cond,28163,Cond-28163,RP,20988,RP-20988,L,11652,L-11652,Activo,"Alexandre GOMBA","2023-10-20 16:35:17",2023-10-20,,Si,,Si
Cond,28340,Cond-28340,RP,20668,RP-20668,L,16106,L-16106,Activo,"Alexandre GOMBA","2023-10-20 16:38:26",2023-10-20,,No,,Si
Cond,12070,Cond-12070,RP,16,RP-00016,L,17,L-00017,Activo,"Delgado Alejandro","2023-10-20 17:01:36",2023-05-03,,No,,Si
Cond,25878,Cond-25878,,,-,L,8414,L-08414,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:46:51",2023-06-16,,No,9600.0,Si
Cond,14516,Cond-14516,RP,1746,RP-01746,L,2466,L-02466,Activo,"Delgado Alejandro","2023-10-20 17:06:00",2023-05-03,,No,,Si
Cond,24458,Cond-24458,,,-,L,1594,L-01594,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:43:35",2023-06-16,,No,9360.0,No
Cond,27553,Cond-27553,RP,2255,RP-02255,L,17373,L-17373,Activo,"Alexandre GOMBA","2023-10-20 16:24:28",2023-10-20,,No,,Si
Cond,31603,Cond-31603,RP,22432,RP-22432,L,5779,L-05779,Activo,"Alexandre GOMBA","2024-01-10 22:24:19",2024-01-10,,No,,Si
Cond,12217,Cond-12217,RP,131,RP-00131,L,156,L-00156,Activo,"Delgado Alejandro","2023-10-20 17:01:54",2023-05-03,,Si,,Si
Cond,20101,Cond-20101,RP,5676,RP-05676,L,7756,L-07756,Activo,"Delgado Alejandro","2023-10-20 17:15:57",2023-05-03,,No,,No
Cond,16953,Cond-16953,RP,3439,RP-03439,L,4760,L-04760,Activo,"Delgado Alejandro","2023-10-20 17:10:25",2023-05-03,,No,,Si
