"WO - ID - prefix","WO - ID - number","WO - ID","ID Solicitud de Acceso - prefix","ID Solicitud de Acceso - number","ID Solicitud de Acceso","ID Site de trabajo - prefix","ID Site de trabajo - number","ID Site de trabajo","ID Site de trabajo (Descargas Baterias) - prefix","ID Site de trabajo (Descargas Baterias) - number","ID Site de trabajo (Descargas Baterias)",Solicitante,Estado,"Fecha de creaciÃ³n","Ultimo cambio",TÃ­tulo,"DescripciÃ³n del Trabajo",Tipo,"Â¿Impacto en el servicio?","Fecha de inicio del impacto del servicio","Fecha de finalizaciÃ³n del impacto del servicio","Fecha ejecuciÃ³n","Estado Cierre","ID Ocean","Fecha prÃ³xima revisiÃ³n","ID de emplazamiento - prefix","ID de emplazamiento - number","ID de emplazamiento","Trabajo completo","Trabajo realizado","Fin de trabajo (previsto)","Fin del trabajo","Inicio de obra","Inicio de obra (previsto)","Reconocimiento requerido","No empezar antes","coordenadas - Latitude - WGS 84","coordenadas - Longitude - WGS 84","coordenadas - Elevation",RazÃ³n,"Trabajo realizado","Trabajo por hacer","PrÃ³xima visita preventiva en","PrÃ³xima visita PM","Â¿Se requiere acceso al sitio?",Dominio,"Fecha de inicio prevista","Fecha de finalizaciÃ³n prevista"
WO,1759,WO-1759,,,-,,,,SPA-BU,4155,SPA-BU04155,"Delgado Alejandro",Cerrado,,"2023-09-07 20:18:51",Otros,,"Revision (MTO)",,,,,,,,LO,664,LO-000664,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,3380,WO-3380,,,-,,,,SPA-TO,2123,SPA-TO02123,"System Administrator",Cerrado,"2023-11-14 19:04:50","2023-11-15 12:22:41","1914024228822_TO2123-TOTEM.PDF","1914024228822_TO2123-TOTEM.PDF","Revision (MTO)",NO,,,,,,,LO,6786,LO-006786,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,2913,WO-2913,,,-,,,,SPA-BU,4122,SPA-BU04122,"System Administrator",Cerrado,"2023-11-14 18:54:10","2023-11-15 12:20:19","211605574550_BU4122-DEFECTOS_CORREGIDOS.PDF","211605574550_BU4122-DEFECTOS_CORREGIDOS.PDF","Revision (MTO)",NO,,,,,,,LO,641,LO-000641,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,925,WO-925,,,-,,,,SPA-LE,9743,SPA-LE09743,"Delgado Alejandro",Cerrado,"2020-06-23 00:00:00","2023-09-07 20:16:13",Otros,,"Revision (MTO)",,,,,,,,LO,3511,LO-003511,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,578,WO-578,,,-,,,,SPA-LE,471,SPA-LE00471,"Delgado Alejandro",Cerrado,"2020-04-05 00:00:00","2023-09-07 20:15:08","Parte incidencia",,"Revision (MTO)",,,,,,,,LO,3399,LO-003399,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,3166,WO-3166,,,-,,,,SPA-SG,9202,SPA-SG09202,"System Administrator",Cerrado,"2023-11-14 18:59:51","2023-11-15 12:15:34",140956428575_SG9202.PDF,140956428575_SG9202.PDF,"Revision (MTO)",NO,,,,,,,LO,6068,LO-006068,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,2926,WO-2926,,,-,,,,SPA-LU,7720,SPA-LU07720,"System Administrator",Cerrado,"2023-11-14 18:54:29","2023-11-15 12:11:08","210931533332_LU7720-DEFFECTOS_CORREGIDOS.PDF","210931533332_LU7720-DEFFECTOS_CORREGIDOS.PDF","Revision (MTO)",NO,,,,,,,LO,3608,LO-003608,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,917,WO-917,,,-,,,,SPA-LE,1673,SPA-LE01673,"Delgado Alejandro",Cerrado,"2020-06-26 00:00:00","2023-09-07 20:16:11",Otros,,"Revision (MTO)",,,,,,,,LO,3461,LO-003461,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,1572,WO-1572,,,-,,,,SPA-OR,8920,SPA-OR08920,"Delgado Alejandro",Cerrado,,"2023-09-07 20:18:15",Otros,,"Revision (MTO)",,,,,,,,LO,5126,LO-005126,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,1781,WO-1781,,,-,,,,SPA-BU,4333,SPA-BU04333,"Delgado Alejandro",Cerrado,,"2023-09-07 20:18:55",Otros,,"Revision (MTO)",,,,,,,,LO,740,LO-000740,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,3114,WO-3114,,,-,,,,SPA-CU,8540,SPA-CU08540,"System Administrator",Cerrado,"2023-11-14 18:58:38","2023-11-15 12:20:43",0915452422078_CU8540.PDF,0915452422078_CU8540.PDF,"Inspecciones (OCA)",NO,,,,,,29.07.2024,LO,2040,LO-002040,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,1627,WO-1627,,,-,,,,SPA-LE,1546,SPA-LE01546,"Delgado Alejandro",Cerrado,"2022-08-30 10:42:00","2023-09-07 20:18:25","Parte incidencia",,"Revision (MTO)",,,,,,,,LO,3449,LO-003449,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,2301,WO-2301,,,-,,,,SPA-LE,991,SPA-LE00991,"System Administrator",Cerrado,"2023-11-14 18:39:56","2023-11-15 12:14:54","2112304330502_LE0991-REVISION__MTO_-10-06-2019.PDF","2112304330502_LE0991-REVISION__MTO_-10-06-2019.PDF","Revision (MTO)",NO,,,,,,,LO,3428,LO-003428,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,1238,WO-1238,,,-,,,,SPA-LE,1719,SPA-LE01719,"Delgado Alejandro",Cerrado,,"2023-09-07 20:17:11",Otros,,"Revision (MTO)",,,,,,,,LO,3475,LO-003475,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,1884,WO-1884,,,-,,,,SPA-SG,9154,SPA-SG09154,"System Administrator",Cerrado,"2023-11-14 18:29:57","2023-11-15 12:21:17",2310450617748_SG9154.PDF,2310450617748_SG9154.PDF,"Revision (MTO)",NO,,,,,,,LO,6053,LO-006053,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,714,WO-714,,,-,,,,SPA-LE,9995,SPA-LE09995,"Delgado Alejandro",Cerrado,"2020-08-12 00:00:00","2023-09-07 20:15:33",Otros,,"Revision (MTO)",,,,,,,,LO,3512,LO-003512,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,1010,WO-1010,,,-,,,,SPA-VA,2179,SPA-VA02179,"Delgado Alejandro",Cerrado,"2020-10-03 00:00:00","2023-09-07 20:16:29",Otros,,"Revision (MTO)",,,,,,,,LO,7034,LO-007034,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,1655,WO-1655,,,-,,,,SPA-TO,55,SPA-TO00055,"Delgado Alejandro",Cerrado,"2022-07-18 12:09:00","2023-09-01 06:39:22","RevisiÃ³n MTO",,"Revision (MTO)",,,,,,,,LO,6654,LO-006654,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,2993,WO-2993,,,-,,,,SPA-BA,412,SPA-BA00412,"System Administrator",Cerrado,"2023-11-14 18:56:02","2023-11-15 12:12:35","220951423914_REVISION_ANUAL_CT_BA0412_2021.PDF","220951423914_REVISION_ANUAL_CT_BA0412_2021.PDF","Revision (MTO)",NO,,,,,,,LO,429,LO-000429,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,3423,WO-3423,,,-,,,,SPA-GU,9330,SPA-GU09330,"System Administrator",Cerrado,"2023-11-14 19:05:49","2023-11-15 12:20:21","2710583419283_GU9330-TOTEM.PDF","2710583419283_GU9330-TOTEM.PDF","Revision (MTO)",NO,,,,,,,LO,2828,LO-002828,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,3536,WO-3536,,,-,,,,SPA-OR,8985,SPA-OR08985,"System Administrator",Cerrado,"2023-11-14 19:08:25","2023-11-15 12:14:03",0810194611861_OR8985.PDF,0810194611861_OR8985.PDF,"Revision (MTO)",NO,,,,,,,LO,5130,LO-005130,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,2540,WO-2540,,,-,,,,SPA-PO,6639,SPA-PO06639,"System Administrator",Cerrado,"2023-11-14 18:45:37","2023-11-15 12:22:59","2112311117282_PO6639-REVISION__MTO_-21-04-2020.PDF","2112311117282_PO6639-REVISION__MTO_-21-04-2020.PDF","Revision (MTO)",NO,,,,,,,LO,5605,LO-005605,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,1921,WO-1921,,,-,,,,SPA-AB,6318,SPA-AB06318,"System Administrator",Cerrado,"2023-11-14 18:30:50","2023-11-15 12:10:00","0709471726209_AB6318_INFORME_REVISION_EL_BONILLO_2021.DOC","0709471726209_AB6318_INFORME_REVISION_EL_BONILLO_2021.DOC","Revision (MTO)",NO,,,,,,,LO,65,LO-000065,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,1695,WO-1695,,,-,,,,SPA-ZX,519,SPA-ZX00519,"Delgado Alejandro",Cerrado,"2022-07-06 00:00:00","2023-09-07 20:18:38",Otros,,"Revision (MTO)",,,,,,,,LO,7776,LO-007776,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,870,WO-870,,,-,,,,SPA-CU,8335,SPA-CU08335,"Delgado Alejandro",Cerrado,"2018-03-21 00:00:00","2023-09-07 20:16:02",Otros,,"Revision (MTO)",,,,,,,,LO,1988,LO-001988,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,1694,WO-1694,,,-,,,,SPA-ZX,374,SPA-ZX00374,"Delgado Alejandro",Cerrado,"2022-07-05 00:00:00","2023-09-07 20:18:38",Otros,,"Revision (MTO)",,,,,,,,LO,7759,LO-007759,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,1789,WO-1789,,,-,,,,SPA-CS,40,SPA-CS00040,"Delgado Alejandro",Cerrado,"2022-10-03 17:01:00","2023-09-07 20:18:57","RevisiÃ³n MTO",,"Revision (MTO)",,,,,,,,LO,1850,LO-001850,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,572,WO-572,,,-,,,,SPA-VA,2266,SPA-VA02266,"Delgado Alejandro",Cerrado,"2019-10-08 00:00:00","2023-09-07 20:15:07",Otros,,"Revision (MTO)",,,,,,,,LO,7087,LO-007087,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,2716,WO-2716,,,-,,,,SPA-JX,8511,SPA-JX08511,"System Administrator",Cerrado,"2023-11-14 18:49:35","2023-11-15 12:08:19","2112312526919_JX8511-INSPECCION__OCA_-01-07-2020.PDF","2112312526919_JX8511-INSPECCION__OCA_-01-07-2020.PDF","Inspecciones (OCA)",NO,,,,,,01.07.2023,LO,3340,LO-003340,false,,,,,,false,2023-11-14,,,,,,,,,,,,
